year,month,region,city1,city2,sales_amounts,sales_volume,prices
2014,11,전남,신안,목포,552,1235,447
2014,11,전남,영암,강진군,27,57,471
2014,11,전남,장흥,장흥,1,2,314
2014,11,전남,함평,영광,1361,2836,480
2014,11,전남,해남,해남,605,1292,468
2014,11,전북,고창,고창,8,19,410
2014,11,전북,부안,부안,119,216,548
2014,11,전북,완주,전주,20,30,667
2014,11,전북,익산,군산,1,5,288
2014,11,제주,제주,제주,1,5,219
2014,11,충남,서산,서산,52,104,499
2014,12,경기,구리,서울,577,1361,424
2014,12,경남,거창,거창,6,24,251
2014,12,경남,밀양,밀양,11,29,375
2014,12,경남,의령,의령군,39,107,368
2014,12,경남,창녕,밀양,643,1749,368
2014,12,경남,함양,산청,332,709,468
2014,12,경남,합천,합천,42,110,385
2014,12,경북,경산,대구,46,106,435
2014,12,경북,고령,합천,6,15,371
2014,12,경북,군위,의성,154,339,453
2014,12,경북,김천,추풍령,65,120,537
2014,12,경북,문경,문경,7,12,624
2014,12,경북,안동,안동,17,42,404
2014,12,경북,영천,영천,210,484,433
2014,12,경북,의성,의성,34,80,428
2014,12,대구,달성,대구,7,14,500
2014,12,전남,고흥,고흥,23,67,337
2014,12,전남,나주,광주,15,33,462
2014,12,전남,무안,목포,4073,8716,467
2014,12,전남,신안,목포,470,1075,437
2014,12,전남,영암,강진군,47,110,427
2014,12,전남,장흥,장흥,7,15,424
2014,12,전남,함평,영광,1258,2439,516
2014,12,전남,해남,해남,149,311,479
2014,12,전북,부안,부안,34,60,565
2014,12,충남,논산,부여,0,0,500
2014,12,충남,서산,서산,98,185,528
2015,1,경기,구리,서울,489,1103,443
2015,1,경남,거창,거창,27,72,380
2015,1,경남,의령,의령군,23,46,499
2015,1,경남,창녕,밀양,600,1369,439
2015,1,경남,함양,산청,498,1119,445
2015,1,경남,합천,합천,116,286,405
2015,1,경북,경산,대구,36,86,421
2015,1,경북,고령,합천,8,20,388
2015,1,경북,군위,의성,174,379,459
2015,1,경북,김천,추풍령,206,433,475
2015,1,경북,문경,문경,12,19,620
2015,1,경북,안동,안동,13,31,411
2015,1,경북,영천,영천,216,478,452
2015,1,경북,의성,의성,112,279,400
2015,1,광주,광주서구,광주,7,15,500
2015,1,대구,달성,대구,50,114,435
2015,1,대구,대구중구,대구,12,27,453
2015,1,전남,고흥,고흥,15,33,443
2015,1,전남,나주,광주,3,6,519
2015,1,전남,무안,목포,3691,7557,488
2015,1,전남,신안,목포,671,1332,504
2015,1,전남,영암,강진군,43,90,479
2015,1,전남,장흥,장흥,33,68,484
2015,1,전남,함평,영광,1127,2279,494
2015,1,전남,해남,해남,246,624,394
2015,1,전북,고창,고창,50,105,475
2015,1,전북,부안,부안,23,48,482
2015,1,전북,완주,전주,4,9,414
2015,1,충남,논산,부여,4,13,332
2015,1,충남,서산,서산,69,134,514
2015,2,경기,구리,서울,379,775,489
2015,2,경남,거창,거창,36,65,551
2015,2,경남,의령,의령군,51,114,444
2015,2,경남,창녕,밀양,434,988,439
2015,2,경남,함양,산청,353,658,537
2015,2,경남,합천,합천,209,410,509
2015,2,경북,경산,대구,113,229,496
2015,2,경북,고령,합천,17,50,331
2015,2,경북,군위,의성,244,436,560
2015,2,경북,김천,추풍령,332,588,564
2015,2,경북,문경,문경,30,41,743
2015,2,경북,안동,안동,7,23,314
2015,2,경북,영주,영주,20,50,402
2015,2,경북,영천,영천,333,601,554
2015,2,경북,의성,의성,136,284,480
2015,2,대구,달성,대구,20,43,459
2015,2,대구,대구중구,대구,8,19,404
2015,2,전남,고흥,고흥,3,15,216
2015,2,전남,나주,광주,15,33,459
2015,2,전남,무안,목포,3553,6045,588
2015,2,전남,신안,목포,279,493,567
2015,2,전남,영암,강진군,82,161,513
2015,2,전남,장흥,장흥,69,124,555
2015,2,전남,함평,영광,884,1496,591
2015,2,전남,해남,해남,285,747,382
2015,2,전북,고창,고창,247,392,631
2015,2,전북,부안,부안,160,323,494
2015,2,제주,제주,제주,18,40,456
2015,2,충남,서산,서산,60,112,540
2015,3,경기,구리,서울,460,960,479
2015,3,경남,거창,거창,23,42,552
2015,3,경남,밀양,밀양,0,2,191
2015,3,경남,의령,의령군,26,44,594
2015,3,경남,창녕,밀양,467,982,476
2015,3,경남,창원의창,북창원,2,15,169
2015,3,경남,함양,산청,440,809,543
2015,3,경남,합천,합천,290,532,545
2015,3,경북,경산,대구,84,155,538
2015,3,경북,고령,합천,7,30,238
2015,3,경북,군위,의성,324,609,532
2015,3,경북,김천,추풍령,317,447,710
2015,3,경북,안동,안동,12,29,417
2015,3,경북,영천,영천,783,1382,567
2015,3,경북,의성,의성,245,464,528
2015,3,광주,광주서구,광주,7,14,471
2015,3,대구,대구중구,대구,107,188,568
2015,3,전남,나주,광주,30,70,425
2015,3,전남,무안,목포,3852,6604,583
2015,3,전남,신안,목포,667,1217,548
2015,3,전남,영암,강진군,75,140,533
2015,3,전남,장흥,장흥,79,131,603
2015,3,전남,함평,영광,1028,1817,566
2015,3,전남,해남,해남,268,676,397
2015,3,전북,고창,고창,299,529,566
2015,3,전북,부안,부안,180,257,700
