지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일조시간(hr)
93,북춘천,2019-04,10.6,28.3,-5.1,49.7,205.8
93,북춘천,2019-05,18.3,33.3,2.6,31.4,298.6
93,북춘천,2019-06,21.4,33.1,9.9,88.7,235
93,북춘천,2019-07,25,36.2,14.8,252.2,140.5
93,북춘천,2019-08,25.6,36.5,16.1,186.6,220.9
93,북춘천,2019-09,20.7,31.6,10.7,147.9,138.1
93,북춘천,2019-10,14,29.9,.2,48.4,189.2
93,북춘천,2019-11,4.9,20.3,-7.5,57.8,167.3
93,북춘천,2019-12,-.7,10.5,-13.4,10.5,143.2
93,북춘천,2020-01,-.7,10.9,-10.6,55.9,187.4
93,북춘천,2020-02,.7,15.5,-14.8,35.3,183.5
93,북춘천,2020-03,6.1,21,-6.6,13.7,238.5
93,북춘천,2020-04,9.7,24.6,-4.5,17,257.6
93,북춘천,2020-05,17.4,29.8,5.4,122.2,193.7
93,북춘천,2020-06,23.5,35.8,13.6,79.1,225.2
93,북춘천,2020-07,23.3,32.7,16.1,183.6,140.4
93,북춘천,2020-08,25.6,35.4,20.3,821.2,92.3
93,북춘천,2020-09,19,30,8.2,153.1,162.6
93,북춘천,2020-10,10.9,23.7,-2.7,.3,221.5
93,북춘천,2020-11,5.3,19.4,-8.3,75.2,181.1
93,북춘천,2020-12,-3.6,9.9,-18.5,4.8,197.9
93,북춘천,2021-01,-5.7,11.5,-22.5,14.3,181.6
93,북춘천,2021-02,.4,19.7,-14.2,5.6,210.7
93,북춘천,2021-03,7.1,22.8,-4.7,100.1,217.1
93,북춘천,2021-04,12.4,29.2,-.1,110.2,225.5
93,북춘천,2021-05,15.6,30.6,3.1,159.3,190.3
93,북춘천,2021-06,21.6,32.3,12.4,128.1,186.6
93,북춘천,2021-07,26.7,36.6,18.5,202,251.7
93,북춘천,2021-08,24.3,34.4,15.7,122.5,154
93,북춘천,2021-09,20.7,29.7,13.2,103.7,188.6
95,철원,2014-01,-3.4,6.7,-16,12.7,174.3
95,철원,2014-02,-1,15.8,-13.3,18,180.3
95,철원,2014-03,5.6,22.2,-10.4,7.1,225.4
95,철원,2014-04,12.3,25.3,-5.6,14,209.5
95,철원,2014-05,17.4,32.2,1.7,81.6,303.5
95,철원,2014-06,21.5,31.1,13.9,75.6,187.2
95,철원,2014-07,24.5,32.6,16.2,186.7,207.1
95,철원,2014-08,23.1,35.3,15,105,159.8
95,철원,2014-09,19.3,30.1,8.8,73,230
95,철원,2014-10,12.4,29,-2.4,55.4,237.8
95,철원,2014-11,5.6,21.2,-7.5,42.2,178.8
95,철원,2014-12,-5.9,7.1,-20.3,13.1,193.2
95,철원,2015-01,-4,8.1,-16.3,17,185.2
95,철원,2015-02,-1.3,11.9,-18.1,24,172.8
95,철원,2015-03,4,21.2,-9.8,7.8,266.5
95,철원,2015-04,11.3,28.9,-2.8,98.3,227.8
95,철원,2015-05,17.6,31.3,3,35.8,298
95,철원,2015-06,21.6,33,10.6,79.6,274.5
95,철원,2015-07,23.8,35.6,13.3,458,197.7
95,철원,2015-08,24.1,33.3,13.9,140.6,246.5
95,철원,2015-09,18.9,28.8,8.1,32.7,256.6
95,철원,2015-10,12.3,25.7,-4.9,64,230.4
95,철원,2015-11,6.6,18.1,-8,111.5,101.1
95,철원,2015-12,-1.2,10,-15.2,25.6,168
95,철원,2016-01,-6,8.2,-20.6,.9,187.6
95,철원,2016-02,-2.2,14.6,-17,54.1,186.1
95,철원,2016-03,4.7,21.4,-13.4,45.2,236.3
95,철원,2016-04,12.6,25.6,-1.1,88.8,218.2
95,철원,2016-05,17.7,30.8,5.1,149.9,248.1
95,철원,2016-06,22.1,30.9,12,27.1,230.1
95,철원,2016-07,24.1,33.5,16.4,460.5,153.9
