,city,kind,market,corp,wide,year,month,area,ratio,amount,inn,out,AT_1,AT_7,AT_10,AT_12,HT_7,HT_10,LT_2,RAIN_3,RAIN_6,RAIN_7,RAIN_8,RAIN_10,SUN_1,SUN_2,SUN_4,SUN_5,SUN_7,SUN_10,SUN_11
36,3,4,10,75,7,22,8,10.00265087920827,69.39072572260343,15.404834029143167,11.137266869526398,2.89642915854646,3.3,23.0,14.0,1.1,26.7,20.5,-0.9,42.9,136.4,454.2,362.3,10.2,125.4,181.8,288.2,204.9,74.4,212.9,152.6
37,3,4,10,75,7,22,7,10.00265087920827,69.39072572260343,15.404834029143167,4.866818398030924,16.662644352240946,3.3,23.0,14.0,1.1,26.7,20.5,-0.9,42.9,136.4,454.2,362.3,10.2,125.4,181.8,288.2,204.9,74.4,212.9,152.6
38,3,4,10,75,7,22,6,10.00265087920827,69.39072572260343,15.404834029143167,3.5838054418148455,6.793541092237841,3.3,23.0,14.0,1.1,26.7,20.5,-0.9,42.9,136.4,454.2,362.3,10.2,125.4,181.8,288.2,204.9,74.4,212.9,152.6
39,3,4,10,75,7,22,5,10.00265087920827,69.39072572260343,15.404834029143167,3.2813712501211545,0.2622459903666843,3.3,23.0,14.0,1.1,26.7,20.5,-0.9,42.9,136.4,454.2,362.3,10.2,125.4,181.8,288.2,204.9,74.4,212.9,152.6
40,3,4,10,75,7,22,4,10.00265087920827,69.39072572260343,15.404834029143167,12.241217616568814,0.022864184453156487,3.3,23.0,14.0,1.1,26.7,20.5,-0.9,42.9,136.4,454.2,362.3,10.2,125.4,181.8,288.2,204.9,74.4,212.9,152.6
41,3,4,10,75,7,22,3,10.00265087920827,69.39072572260343,15.404834029143167,13.105559620628842,0.007398640063129969,3.3,23.0,14.0,1.1,26.7,20.5,-0.9,42.9,136.4,454.2,362.3,10.2,125.4,181.8,288.2,204.9,74.4,212.9,152.6
42,3,4,10,75,7,22,2,10.00265087920827,69.39072572260343,15.404834029143167,4.845444999679543,0.0953708570718302,3.3,23.0,14.0,1.1,26.7,20.5,-0.9,42.9,136.4,454.2,362.3,10.2,125.4,181.8,288.2,204.9,74.4,212.9,152.6
43,3,4,10,75,7,22,1,10.00265087920827,69.39072572260343,15.404834029143167,7.028363132868284,0.01694527240265251,3.3,23.0,14.0,1.1,26.7,20.5,-0.9,42.9,136.4,454.2,362.3,10.2,125.4,181.8,288.2,204.9,74.4,212.9,152.6
44,4,4,13,40,6,21,12,74.72828488115225,48.1181118735704,100.00000000000001,2.0312392041448333,0.0069213084461538414,2.1,24.1,16.1,3.8,27.9,21.8,-1.9,71.7,266.7,356.9,89.7,281.4,201.0,164.3,175.9,260.4,137.8,203.4,183.9
45,4,4,13,40,6,21,11,74.72828488115225,48.1181118735704,100.00000000000001,8.799043710838209,7.436067635217069,2.1,24.1,16.1,3.8,27.9,21.8,-1.9,71.7,266.7,356.9,89.7,281.4,201.0,164.3,175.9,260.4,137.8,203.4,183.9
