,도시,년,월,도매가격(원/kg)
139,밀양,22,4,799.4939145279437
140,밀양,22,3,1353.7338826863975
141,밀양,22,2,1413.674631424591
142,밀양,22,1,1323.125931811553
143,부안,21,12,1131.5884871899157
144,부안,21,11,1127.469413778731
145,부안,21,10,1067.4791646634706
146,부안,22,8,790.3430935147667
147,부안,22,7,684.9545062711549
148,부안,22,6,686.5924759394964
149,부안,22,5,779.9095910240658
150,부안,22,4,992.5957621386493
151,부안,22,3,1203.8500063446525
152,부안,22,2,1420.5862219620908
153,부안,22,1,1185.2208689614847
154,서귀포,21,12,1276.5695771227347
155,서귀포,21,11,1241.9898749538047
156,서귀포,22,8,623.8389002557761
157,서귀포,22,7,474.14942603393814
158,서귀포,22,6,480.8701262703394
159,서귀포,22,5,570.9404356014184
160,서귀포,22,4,962.1140191350838
161,서귀포,22,3,1344.624889551486
162,서귀포,22,2,1503.252944567692
163,서귀포,22,1,1345.4262987717716
164,서귀포,21,10,1142.4771603345234
165,서산,21,12,1084.1053257151268
166,서산,21,11,1072.207592468725
167,서산,21,10,1045.773590958671
168,서산,22,8,655.7110268794595
169,서산,22,7,516.9533866628167
170,서산,22,6,516.1107855325444
171,서산,22,5,575.3555473609099
172,서산,22,4,816.0836549435146
173,서산,22,3,1126.1629576622965
174,서산,22,2,1202.9805893882906
175,서산,22,1,1055.738402183204
176,안동,21,12,1129.5339628054885
177,안동,21,11,1124.3373782470146
178,안동,21,10,1073.588336291564
179,안동,22,8,670.2103504304258
180,안동,22,7,518.0126841671577
181,안동,22,6,517.1435479059207
182,안동,22,5,599.5042157337009
183,안동,22,4,809.6614937427289
184,안동,22,3,1076.0707383105484
185,안동,22,2,1252.873036412716
186,안동,22,1,1065.588861908737
187,여수,21,11,1140.1883506817785
188,여수,21,10,1078.6848954932746
189,여수,22,8,645.8622856433691
190,여수,22,7,520.2660893103005
191,여수,22,6,519.4916632483163
192,여수,22,5,567.9258055672269
193,여수,22,4,791.1082701623366
194,여수,22,3,996.6438282090202
195,여수,21,12,1176.0580109827638
196,여수,22,1,1026.8694497329031
197,여수,22,2,1270.8395496414396
198,연제,21,12,1534.8336343670496
