,kind,market,corp,wide,city,price,year,month,area,ratio,amount,weather,inn,out
113,4,2,12,6,31,464.44,21,7,6775,8547,579042,26,1759.3129999999999,3357.3
114,7,10,75,6,14,575.0,20,5,5743,7883,452737,8,1757.0379999999998,55.15000000000001
115,6,20,52,9,19,466.67,20,8,693,6620,45885,17,3704.711000000001,607.006
116,0,3,13,6,14,639.71,21,7,6775,8547,579042,8,1759.3129999999999,3357.3
117,4,8,15,4,12,415.2,19,5,311,8426,26244,7,2304.702,912.246
118,5,5,23,6,38,785.13,17,6,9230,5578,514896,31,4789.605000000001,104.17
119,4,4,9,2,7,1341.71,21,1,3159,9739,307653,5,7944.320000000002,14.0
120,4,6,25,2,2,534.37,20,6,2365,8098,191509,30,1832.019,1423.4429999999998
121,6,8,29,1,34,567.16,20,9,2825,8783,248082,14,3378.003,2.2
122,0,10,60,6,14,437.97,19,5,8467,6873,581958,8,2304.702,912.246
123,7,10,75,6,38,673.18,19,12,8467,6873,581958,31,1447.099,1.66
124,4,5,23,1,33,1012.54,17,11,3938,6081,239459,10,25736.005,403.0
125,8,9,16,1,34,639.3,21,4,4023,8423,338877,14,3842.014,41.540000000000006
126,8,5,21,4,12,433.01,19,6,311,8426,26244,7,1395.514,10152.36
127,4,19,50,7,30,1320.62,21,3,1687,8314,140261,6,15459.506000000001,2.06
128,4,10,60,8,32,782.78,19,4,1130,7875,89017,28,5370.9090000000015,10.409999999999998
129,0,22,57,6,4,507.78,18,5,11327,4932,558659,3,4752.003,34.90000000000001
130,0,24,61,8,32,795.73,21,4,906,8265,74856,28,3842.014,41.540000000000006
131,0,14,42,6,14,587.6,20,7,5743,7883,452737,8,2150.1100000000006,3491.0
132,0,29,68,2,8,600.03,19,12,3309,7471,247231,25,1447.099,1.66
133,4,7,14,2,9,515.2,19,2,3309,7471,247231,29,3132.005,165.31
134,4,6,26,8,32,613.56,19,5,1130,7875,89017,28,2304.702,912.246
135,0,5,17,1,37,446.24,19,1,4330,8170,353752,30,5570.91,821.0
136,4,7,14,6,20,435.87,21,6,6775,8547,579042,8,1815.108,3198.0
137,4,6,26,6,20,772.66,19,12,8467,6873,581958,8,1447.099,1.66
138,0,5,17,2,29,635.71,20,2,2365,8098,191509,25,2144.8110000000006,20.19
139,6,10,30,6,10,870.19,18,10,11327,4932,558659,4,3537.007,4.4
140,0,31,20,2,26,791.32,20,9,2365,8098,191509,23,3378.003,2.2
141,4,8,15,5,23,203.81,19,8,16,6463,1049,11,1317.91,6311.0
142,2,3,55,6,14,1650.42,21,3,6775,8547,579042,8,15459.506000000001,2.06
143,2,9,77,1,37,485.57,19,3,4330,8170,353752,30,4655.0239999999985,4.72
