,date,qty,total,cost
507,2015-05-04,1675.43,1224.61,730.922807876187
508,2015-05-05,1212.6900000000003,908.2799999999999,748.9795413502211
509,2015-05-06,1214.7099999999998,873.4100000000001,719.027586831425
510,2015-05-07,1498.9699999999996,1012.98,675.7840383730163
511,2015-05-08,1747.1299999999999,1102.84,631.229502097726
512,2015-05-09,1310.4999999999993,759.62,579.6413582602063
488,2015-05-11,1689.26,1045.33,618.8094195091342
489,2015-05-12,1055.46,689.5399999999998,653.3075625793491
490,2015-05-13,1073.3200000000002,715.4999999999997,666.6231878656873
491,2015-05-14,1236.5500000000002,826.7200000000001,668.5698111681695
492,2015-05-15,1706.1600000000008,1088.55,638.0116753411166
493,2015-05-16,1659.1700000000005,1013.6000000000001,610.9078635703393
494,2015-05-18,1825.7600000000004,1006.89,551.4908859872052
495,2015-05-19,994.19,604.11,607.6403906697915
497,2015-05-20,1298.8699999999994,832.4799999999998,640.9263436679577
498,2015-05-21,1529.37,965.1600000000001,631.0833872771142
499,2015-05-22,1716.0900000000006,1022.12,595.6097873654643
500,2015-05-23,1186.4099999999999,706.7099999999998,595.6709737780361
501,2015-05-25,1576.75,925.1300000000001,586.7322023148882
502,2015-05-26,1412.3000000000002,820.1500000000003,580.719393896481
503,2015-05-27,1477.9299999999998,825.0700000000003,558.2605400797063
504,2015-05-28,1409.39,789.1299999999999,559.9088967567528
505,2015-05-29,1274.35,677.9299999999998,531.9810099266292
506,2015-05-30,1210.3,657.8999999999999,543.5842353135586
513,2015-06-01,1123.3799999999999,694.9499999999999,618.6241521123751
523,2015-06-02,1338.6999999999998,782.9600000000002,584.8659146933594
532,2015-06-03,1145.6399999999994,689.6299999999998,601.9604762403549
534,2015-06-04,1108.6500000000003,690.2300000000001,622.5860280521354
535,2015-06-05,1158.1499999999999,763.8899999999998,659.5777748996243
536,2015-06-06,741.2500000000002,574.43,774.9477234401347
537,2015-06-08,1621.5400000000004,1181.1899999999998,728.4371646706214
538,2015-06-09,1384.1400000000003,1012.14,731.2410594304042
514,2015-06-10,1472.8899999999999,1085.2099999999994,736.7895769541509
515,2015-06-11,1331.42,961.2999999999998,722.0110859082782
516,2015-06-12,1146.8600000000006,823.15,717.7423573932299
517,2015-06-13,1096.98,785.8000000000002,716.3302886105491
518,2015-06-15,1564.0500000000004,1117.7699999999998,714.6638534573699
519,2015-06-16,1053.12,803.1999999999997,762.6861136432693
520,2015-06-17,1192.3,927.61,778.0005032290532
521,2015-06-18,1022.1999999999998,877.2870000000001,858.2342007434947
522,2015-06-19,1058.04,972.5600000000003,919.2091036255721
524,2015-06-20,1093.0600000000002,1094.4300000000003,1001.2533621210181
525,2015-06-22,1468.1600000000003,1506.6099999999992,1026.1892436791622
526,2015-06-23,1206.6599999999999,1118.2320000000002,926.7167221918356
527,2015-06-24,1055.32,989.2399999999998,937.3839214645793
528,2015-06-25,862.5600000000001,768.7800000000001,891.2771285475794
529,2015-06-26,843.4000000000001,794.1800000000001,941.6409769978658
530,2015-06-27,609.2,607.9799999999998,997.997373604727
531,2015-06-29,1000.8400000000001,1034.5899999999997,1033.7216737940125
533,2015-06-30,883.1599999999997,890.1899999999999,1007.9600525386115
539,2015-07-01,788.1400000000001,830.9599999999999,1054.3304489050165
548,2015-07-02,747.7799999999999,768.1500000000001,1027.240632271524
558,2015-07-03,956.5499999999996,988.8000000000001,1033.714912968481
561,2015-07-04,694.0699999999997,716.2900000000001,1032.0140619822214
562,2015-07-06,1082.8499999999997,1141.5800000000002,1054.236505517847
563,2015-07-07,864.1900000000002,891.8300000000002,1031.983707286592
564,2015-07-08,748.6400000000001,771.0100000000001,1029.8808506091045
565,2015-07-09,607.77,616.2200000000001,1013.9032857824508
540,2015-07-10,707.6999999999999,710.85,1004.4510385756678
541,2015-07-11,676.1600000000002,694.2399999999999,1026.7392333175576
542,2015-07-13,918.3399999999999,941.8799999999999,1025.6332077444083
543,2015-07-14,718.71,749.49,1042.8267312267812
544,2015-07-15,895.8200000000002,915.9500000000002,1022.4710321269897
545,2015-07-16,738.8399999999999,743.6,1006.4425315359213
546,2015-07-17,719.9400000000002,748.1500000000002,1039.1838208739618
547,2015-07-18,641.9100000000001,673.5200000000001,1049.2436634419155
549,2015-07-20,888.3700000000001,965.1400000000002,1086.4166957461418
550,2015-07-21,759.5200000000001,848.7300000000001,1117.4557615336003
551,2015-07-22,777.5900000000003,867.79,1115.9994341491013
552,2015-07-23,742.1500000000002,820.0800000000003,1105.0057266051338
553,2015-07-24,640.17,713.4400000000002,1114.4539731633788
554,2015-07-25,518.9200000000001,582.3100000000001,1122.1575580050876
555,2015-07-27,763.2400000000002,874.35,1145.5767517425709
556,2015-07-28,684.9599999999999,802.4299999999998,1171.4990656388693
557,2015-07-29,850.64,996.34,1171.2827988338192
559,2015-07-30,764.9300000000002,925.4499999999999,1209.8492672532122
560,2015-07-31,843.8599999999998,983.6,1165.5961889412938
566,2015-08-01,68.82,62.74,911.653589072944
585,2015-08-03,760.6300000000002,913.1699999999997,1200.5442856579407
587,2015-08-04,737.7100000000002,908.1199999999999,1230.99863089832
588,2015-08-05,752.67,942.95,1252.8066749040086
589,2015-08-06,869.7200000000001,1014.5100000000001,1166.4788667617163
590,2015-08-07,907.6400000000002,1021.3199999999996,1125.2478956414432
591,2015-08-08,541.3800000000001,644.0099999999999,1189.5710960877752
567,2015-08-10,828.1499999999997,953.4099999999997,1151.2527923685323
568,2015-08-11,762.76,905.15,1186.6773296974147
569,2015-08-12,927.8599999999997,1079.6400000000006,1163.5807126075063
570,2015-08-13,648.9000000000001,757.0699999999997,1166.6974880567109
571,2015-08-14,743.2199999999999,861.66,1159.360620004844
572,2015-08-15,478.8300000000001,591.6700000000001,1235.6577490967566
573,2015-08-17,673.4399999999999,821.22,1219.440484675695
574,2015-08-18,783.91,958.1899999999998,1222.32143996122
575,2015-08-19,856.3,1039.1499999999999,1213.5349760597921
576,2015-08-20,824.6400000000001,963.97,1168.9585758634068
577,2015-08-21,944.1400000000001,1148.8600000000001,1216.8322494545303
578,2015-08-22,705.93,801.6499999999999,1135.5941807261343
579,2015-08-24,954.4200000000001,1095.1,1147.3984199828167
