,kind,market,corp,wide,city,price,year,month,area,ratio,amount,weather,inn,out
145,0,8,29,2,1,841.46,21,8,3159,9739,307653,7,2027.112,271.105
146,0,26,19,2,1,665.0,21,8,3159,9739,307653,7,2027.112,271.105
147,2,8,33,2,1,624.14,21,8,3159,9739,307653,7,2027.112,271.105
148,6,9,34,2,1,916.5,21,8,3159,9739,307653,7,2027.112,271.105
149,4,5,79,1,37,670.41,21,8,4023,8423,338877,30,2027.112,271.105
150,4,5,23,1,37,657.23,21,8,4023,8423,338877,30,2027.112,271.105
151,4,5,22,1,37,400.0,21,8,4023,8423,338877,30,2027.112,271.105
152,4,9,34,1,37,695.15,21,8,4023,8423,338877,30,2027.112,271.105
153,4,21,54,1,37,751.87,21,8,4023,8423,338877,30,2027.112,271.105
154,4,21,35,1,37,801.17,21,8,4023,8423,338877,30,2027.112,271.105
155,4,8,15,1,37,708.34,21,8,4023,8423,338877,30,2027.112,271.105
156,4,6,26,1,37,759.03,21,8,4023,8423,338877,30,2027.112,271.105
157,4,6,25,1,37,813.15,21,8,4023,8423,338877,30,2027.112,271.105
158,4,7,14,1,37,787.4,21,8,4023,8423,338877,30,2027.112,271.105
159,4,7,27,1,37,566.19,21,8,4023,8423,338877,30,2027.112,271.105
160,4,20,24,1,37,803.27,21,8,4023,8423,338877,30,2027.112,271.105
161,4,20,53,1,37,798.98,21,8,4023,8423,338877,30,2027.112,271.105
162,4,2,12,1,37,765.7,21,8,4023,8423,338877,30,2027.112,271.105
163,4,17,48,1,37,725.0,21,8,4023,8423,338877,30,2027.112,271.105
164,4,27,66,1,37,859.73,21,8,4023,8423,338877,30,2027.112,271.105
165,4,16,46,1,37,830.79,21,8,4023,8423,338877,30,2027.112,271.105
166,4,24,62,1,37,627.8,21,8,4023,8423,338877,30,2027.112,271.105
167,4,0,0,1,37,854.73,21,8,4023,8423,338877,30,2027.112,271.105
168,0,10,10,1,37,934.37,21,8,4023,8423,338877,30,2027.112,271.105
169,0,5,21,1,37,557.75,21,8,4023,8423,338877,30,2027.112,271.105
170,0,9,16,1,37,651.27,21,8,4023,8423,338877,30,2027.112,271.105
171,0,8,29,1,37,710.62,21,8,4023,8423,338877,30,2027.112,271.105
172,0,6,25,1,37,700.0,21,8,4023,8423,338877,30,2027.112,271.105
173,0,2,31,1,37,564.44,21,8,4023,8423,338877,30,2027.112,271.105
174,0,13,41,1,37,774.28,21,8,4023,8423,338877,30,2027.112,271.105
175,0,25,63,1,37,618.05,21,8,4023,8423,338877,30,2027.112,271.105
176,0,26,19,1,37,686.51,21,8,4023,8423,338877,30,2027.112,271.105
177,0,24,61,1,37,647.78,21,8,4023,8423,338877,30,2027.112,271.105
178,7,5,17,1,37,639.98,21,8,4023,8423,338877,30,2027.112,271.105
179,7,1,6,1,37,758.75,21,8,4023,8423,338877,30,2027.112,271.105
180,7,15,18,1,37,816.46,21,8,4023,8423,338877,30,2027.112,271.105
181,2,10,60,1,37,863.04,21,8,4023,8423,338877,30,2027.112,271.105
182,2,9,77,1,37,681.07,21,8,4023,8423,338877,30,2027.112,271.105
183,2,8,33,1,37,685.4,21,8,4023,8423,338877,30,2027.112,271.105
184,2,12,39,1,37,846.4,21,8,4023,8423,338877,30,2027.112,271.105
185,2,15,18,1,37,874.07,21,8,4023,8423,338877,30,2027.112,271.105
186,10,24,62,1,37,750.0,21,8,4023,8423,338877,30,2027.112,271.105
187,6,10,60,1,37,1056.77,21,8,4023,8423,338877,30,2027.112,271.105
188,6,5,79,1,37,872.43,21,8,4023,8423,338877,30,2027.112,271.105
189,6,5,23,1,37,622.74,21,8,4023,8423,338877,30,2027.112,271.105
190,6,9,34,1,37,940.85,21,8,4023,8423,338877,30,2027.112,271.105
191,6,21,54,1,37,840.84,21,8,4023,8423,338877,30,2027.112,271.105
192,6,8,33,1,37,753.12,21,8,4023,8423,338877,30,2027.112,271.105
193,6,7,27,1,37,250.0,21,8,4023,8423,338877,30,2027.112,271.105
194,6,16,46,1,37,1008.75,21,8,4023,8423,338877,30,2027.112,271.105
195,4,5,23,1,16,550.13,21,8,4023,8423,338877,10,2027.112,271.105
196,4,5,79,1,16,436.03,21,8,4023,8423,338877,10,2027.112,271.105
197,4,9,34,1,16,437.18,21,8,4023,8423,338877,10,2027.112,271.105
198,4,8,15,1,16,307.57,21,8,4023,8423,338877,10,2027.112,271.105
199,4,6,26,1,16,600.0,21,8,4023,8423,338877,10,2027.112,271.105
200,4,26,64,1,16,588.95,21,8,4023,8423,338877,10,2027.112,271.105
201,0,5,17,1,16,567.46,21,8,4023,8423,338877,10,2027.112,271.105
202,0,9,16,1,16,508.96,21,8,4023,8423,338877,10,2027.112,271.105
203,0,8,29,1,16,626.28,21,8,4023,8423,338877,10,2027.112,271.105
204,0,26,19,1,16,386.34,21,8,4023,8423,338877,10,2027.112,271.105
205,2,10,37,1,16,206.94,21,8,4023,8423,338877,10,2027.112,271.105
206,2,9,77,1,16,435.89,21,8,4023,8423,338877,10,2027.112,271.105
207,2,8,33,1,16,805.56,21,8,4023,8423,338877,10,2027.112,271.105
208,4,5,23,1,33,636.97,21,8,4023,8423,338877,10,2027.112,271.105
209,4,5,79,1,33,622.76,21,8,4023,8423,338877,10,2027.112,271.105
210,4,5,22,1,33,421.02,21,8,4023,8423,338877,10,2027.112,271.105
211,4,9,34,1,33,688.21,21,8,4023,8423,338877,10,2027.112,271.105
212,4,11,11,1,33,1301.66,21,8,4023,8423,338877,10,2027.112,271.105
213,4,21,54,1,33,730.96,21,8,4023,8423,338877,10,2027.112,271.105
214,4,8,15,1,33,705.74,21,8,4023,8423,338877,10,2027.112,271.105
215,4,6,25,1,33,607.91,21,8,4023,8423,338877,10,2027.112,271.105
216,4,6,26,1,33,569.12,21,8,4023,8423,338877,10,2027.112,271.105
217,4,7,14,1,33,705.08,21,8,4023,8423,338877,10,2027.112,271.105
218,4,7,27,1,33,615.0,21,8,4023,8423,338877,10,2027.112,271.105
219,4,20,24,1,33,800.0,21,8,4023,8423,338877,10,2027.112,271.105
220,4,20,53,1,33,621.25,21,8,4023,8423,338877,10,2027.112,271.105
221,4,17,48,1,33,700.51,21,8,4023,8423,338877,10,2027.112,271.105
222,4,24,62,1,33,725.0,21,8,4023,8423,338877,10,2027.112,271.105
223,0,5,21,1,33,716.49,21,8,4023,8423,338877,10,2027.112,271.105
224,0,3,13,1,33,775.77,21,8,4023,8423,338877,10,2027.112,271.105
225,0,9,16,1,33,659.18,21,8,4023,8423,338877,10,2027.112,271.105
226,0,8,29,1,33,592.32,21,8,4023,8423,338877,10,2027.112,271.105
227,0,8,15,1,33,911.77,21,8,4023,8423,338877,10,2027.112,271.105
228,0,20,28,1,33,713.26,21,8,4023,8423,338877,10,2027.112,271.105
229,0,13,41,1,33,768.2,21,8,4023,8423,338877,10,2027.112,271.105
230,0,25,32,1,33,595.06,21,8,4023,8423,338877,10,2027.112,271.105
231,0,25,63,1,33,518.86,21,8,4023,8423,338877,10,2027.112,271.105
232,0,26,19,1,33,696.55,21,8,4023,8423,338877,10,2027.112,271.105
233,2,10,60,1,33,675.42,21,8,4023,8423,338877,10,2027.112,271.105
234,2,10,37,1,33,505.94,21,8,4023,8423,338877,10,2027.112,271.105
235,2,3,55,1,33,678.51,21,8,4023,8423,338877,10,2027.112,271.105
236,2,9,77,1,33,638.43,21,8,4023,8423,338877,10,2027.112,271.105
237,2,8,33,1,33,710.31,21,8,4023,8423,338877,10,2027.112,271.105
238,8,8,33,1,33,526.75,21,8,4023,8423,338877,10,2027.112,271.105
239,6,5,79,1,33,909.8,21,8,4023,8423,338877,10,2027.112,271.105
240,6,5,22,1,33,250.0,21,8,4023,8423,338877,10,2027.112,271.105
241,6,9,34,1,33,883.18,21,8,4023,8423,338877,10,2027.112,271.105
242,6,8,33,1,33,921.79,21,8,4023,8423,338877,10,2027.112,271.105
243,6,7,14,1,33,698.18,21,8,4023,8423,338877,10,2027.112,271.105
244,6,20,28,1,33,741.57,21,8,4023,8423,338877,10,2027.112,271.105
245,6,25,32,1,33,650.0,21,8,4023,8423,338877,10,2027.112,271.105
246,1,0,0,1,33,1400.0,21,8,4023,8423,338877,10,2027.112,271.105
247,4,5,23,1,35,670.28,21,8,4023,8423,338877,15,2027.112,271.105
248,4,9,34,1,35,736.49,21,8,4023,8423,338877,15,2027.112,271.105
249,4,1,4,1,35,550.0,21,8,4023,8423,338877,15,2027.112,271.105
250,4,21,54,1,35,775.0,21,8,4023,8423,338877,15,2027.112,271.105
251,4,21,3,1,35,785.71,21,8,4023,8423,338877,15,2027.112,271.105
252,4,6,25,1,35,732.89,21,8,4023,8423,338877,15,2027.112,271.105
253,4,6,26,1,35,766.21,21,8,4023,8423,338877,15,2027.112,271.105
254,4,7,14,1,35,713.6,21,8,4023,8423,338877,15,2027.112,271.105
255,4,7,27,1,35,792.43,21,8,4023,8423,338877,15,2027.112,271.105
256,4,20,53,1,35,775.05,21,8,4023,8423,338877,15,2027.112,271.105
257,4,20,24,1,35,819.44,21,8,4023,8423,338877,15,2027.112,271.105
258,4,16,45,1,35,873.81,21,8,4023,8423,338877,15,2027.112,271.105
259,4,26,64,1,35,734.69,21,8,4023,8423,338877,15,2027.112,271.105
260,4,24,62,1,35,592.38,21,8,4023,8423,338877,15,2027.112,271.105
261,0,3,13,1,35,800.0,21,8,4023,8423,338877,15,2027.112,271.105
262,0,9,16,1,35,710.34,21,8,4023,8423,338877,15,2027.112,271.105
263,0,6,25,1,35,755.0,21,8,4023,8423,338877,15,2027.112,271.105
264,0,20,28,1,35,807.14,21,8,4023,8423,338877,15,2027.112,271.105
265,0,24,61,1,35,505.27,21,8,4023,8423,338877,15,2027.112,271.105
266,7,10,10,1,35,954.53,21,8,4023,8423,338877,15,2027.112,271.105
267,7,5,17,1,35,926.2,21,8,4023,8423,338877,15,2027.112,271.105
268,7,11,11,1,35,2824.53,21,8,4023,8423,338877,15,2027.112,271.105
269,7,1,4,1,35,794.58,21,8,4023,8423,338877,15,2027.112,271.105
270,2,10,60,1,35,814.81,21,8,4023,8423,338877,15,2027.112,271.105
271,2,3,55,1,35,737.79,21,8,4023,8423,338877,15,2027.112,271.105
272,2,1,4,1,35,675.79,21,8,4023,8423,338877,15,2027.112,271.105
